dDate_Date,dDate_MonthNo,dDate_MonthName,dDate_MonthID,dDate_Month,dDate_Quarter,dDate_Year,dDate_InRange
"Friday, January 1, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Saturday, January 2, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Sunday, January 3, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Monday, January 4, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Tuesday, January 5, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Wednesday, January 6, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Thursday, January 7, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Friday, January 8, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Saturday, January 9, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Sunday, January 10, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Monday, January 11, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Tuesday, January 12, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Wednesday, January 13, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Thursday, January 14, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Friday, January 15, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Saturday, January 16, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Sunday, January 17, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Monday, January 18, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Tuesday, January 19, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Wednesday, January 20, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Thursday, January 21, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Friday, January 22, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Saturday, January 23, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Sunday, January 24, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Monday, January 25, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Tuesday, January 26, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Wednesday, January 27, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Thursday, January 28, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Friday, January 29, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Saturday, January 30, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Sunday, January 31, 1999",1,Jan,199901,Jan-99,Q1,1999,in range
"Monday, February 1, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Tuesday, February 2, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Wednesday, February 3, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Thursday, February 4, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Friday, February 5, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Saturday, February 6, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Sunday, February 7, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Monday, February 8, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Tuesday, February 9, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Wednesday, February 10, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Thursday, February 11, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Friday, February 12, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Saturday, February 13, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Sunday, February 14, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Monday, February 15, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Tuesday, February 16, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Wednesday, February 17, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Thursday, February 18, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Friday, February 19, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Saturday, February 20, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Sunday, February 21, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Monday, February 22, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Tuesday, February 23, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Wednesday, February 24, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Thursday, February 25, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Friday, February 26, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Saturday, February 27, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Sunday, February 28, 1999",2,Feb,199902,Feb-99,Q1,1999,in range
"Monday, March 1, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Tuesday, March 2, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Wednesday, March 3, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Thursday, March 4, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Friday, March 5, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Saturday, March 6, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Sunday, March 7, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Monday, March 8, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Tuesday, March 9, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Wednesday, March 10, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Thursday, March 11, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Friday, March 12, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Saturday, March 13, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Sunday, March 14, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Monday, March 15, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Tuesday, March 16, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Wednesday, March 17, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Thursday, March 18, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Friday, March 19, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Saturday, March 20, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Sunday, March 21, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Monday, March 22, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Tuesday, March 23, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Wednesday, March 24, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Thursday, March 25, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Friday, March 26, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Saturday, March 27, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Sunday, March 28, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Monday, March 29, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Tuesday, March 30, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
"Wednesday, March 31, 1999",3,Mar,199903,Mar-99,Q1,1999,in range
