dProduct_ProductID,dProduct_ProductName,dProduct_Category,dProduct_Segment,dProduct_Manufacturer,dProduct_Product_Name_Rev,dProduct_ProductName_for_Sentiment,dProduct_Manufacturer_for_Sentiment
1,MA-01,Mix,All Season,Abbas,MA-01,MA-01,Abbas
2,MA-02,Mix,All Season,Abbas,MA-02,,
3,MA-03,Mix,All Season,Abbas,MA-03,,
4,MA-04,Mix,All Season,Abbas,MA-04,,
5,MA-05,Mix,All Season,Abbas,MA-05,,
6,MA-06,Mix,All Season,Abbas,MA-06,,
7,MA-07,Mix,All Season,Abbas,MA-07,,
8,MA-08,Mix,All Season,Abbas,MA-08,,
9,MA-09,Mix,All Season,Abbas,MA-09,,
10,MA-10,Mix,All Season,Abbas,MA-10,,
11,MA-11,Mix,All Season,Abbas,MA-11,,
12,MA-12,Mix,All Season,Abbas,MA-12,,
13,MA-13,Mix,All Season,Abbas,MA-13,,
14,MA-14,Mix,All Season,Abbas,MA-14,,
15,MA-15,Mix,All Season,Abbas,MA-15,,
16,MA-16,Mix,All Season,Abbas,MA-16,,
17,MA-17,Mix,All Season,Abbas,MA-17,,
18,MA-18,Mix,All Season,Abbas,MA-18,,
19,MA-19,Mix,All Season,Abbas,MA-19,,
20,MA-20,Mix,All Season,Abbas,MA-20 (No Revenue),,
21,MA-21,Mix,All Season,Abbas,MA-21,,
22,MA-22,Mix,All Season,Abbas,MA-22,,
23,MA-23,Mix,All Season,Abbas,MA-23,,
24,MA-24,Mix,All Season,Abbas,MA-24,,
25,MA-25,Mix,All Season,Abbas,MA-25,,
26,MA-26,Mix,All Season,Abbas,MA-26,,
27,MA-27,Mix,All Season,Abbas,MA-27,,
28,MA-28,Mix,All Season,Abbas,MA-28 (No Revenue),,
29,MA-29,Mix,All Season,Abbas,MA-29,,
30,MA-30,Mix,All Season,Abbas,MA-30 (No Revenue),,
31,MA-31,Mix,All Season,Abbas,MA-31,,
32,MA-32,Mix,All Season,Abbas,MA-32 (No Revenue),,
33,MA-33,Mix,All Season,Abbas,MA-33,,
34,MA-34,Mix,All Season,Abbas,MA-34,,
35,MA-35,Mix,All Season,Abbas,MA-35,,
36,MA-36,Mix,All Season,Abbas,MA-36,,
37,MA-37,Mix,All Season,Abbas,MA-37,,
38,MA-38,Mix,All Season,Abbas,MA-38,,
39,MA-39,Mix,All Season,Abbas,MA-39,,
40,MA-40,Mix,All Season,Abbas,MA-40,,
41,MA-41,Mix,All Season,Abbas,MA-41,,
42,MA-42,Mix,All Season,Abbas,MA-42,,
43,MA-43,Mix,All Season,Abbas,MA-43,,
44,MA-44,Mix,All Season,Abbas,MA-44,,
45,MA-45,Mix,All Season,Abbas,MA-45,,
